"RunID","ThermalCond","SourceTemp","AmbientTemp","BlockSize","MaxTemp","AvgTemp","CenterTemp"
"1","100","60","20","5","60","27.36785524","60"
"2","100","60","20","10","60","30.66139604","60"
"3","100","60","20","15","60","33.81994526","60"
"4","100","60","25","5","60","31.4428347","60"
"5","100","60","25","10","60","34.32619168","60"
"6","100","60","25","15","60","37.09061612","60"
"7","100","60","30","5","60","35.51779818","60"
"8","100","60","30","10","60","37.9909982","60"
"9","100","60","30","15","60","40.36126614","60"
"10","100","70","20","5","70","29.21790211","70"
"11","100","70","20","10","70","33.33172279","70"
"12","100","70","20","15","70","37.27856139","70"
"13","100","70","25","5","70","33.29289715","70"
"14","100","70","25","10","70","36.99655555","70"
"15","100","70","25","15","70","40.54926298","70"
"16","100","70","30","5","70","37.36785524","70"
"17","100","70","30","10","70","40.66139604","70"
"18","100","70","30","15","70","43.81994526","70"
"19","100","80","20","5","80","31.0679522","80"
"20","100","80","20","10","80","36.00202516","80"
